F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,1,0,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,27,36,1,1
0,1,1,0,1,7,21,6,27,36,0,1
0,1,1,0,1,7,21,6,27,36,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,34,7,21,6,27,3,1,1
0,2,0,0,34,7,21,6,27,3,0,1
0,2,0,0,34,7,21,6,27,3,0,1
0,1,1,0,1,41,21,6,28,3,1,1
0,1,1,0,1,41,21,6,28,3,0,1
0,1,1,0,1,41,21,6,28,3,0,1
0,1,1,0,1,7,54,6,61,3,1,1
0,1,1,0,1,7,54,6,61,3,0,1
0,1,1,0,1,7,54,6,61,3,0,1
0,1,1,0,1,7,21,6,61,3,1,1
0,1,1,0,1,7,21,6,61,3,0,1
0,1,1,0,1,7,21,6,61,3,0,1
0,1,1,0,1,7,21,6,61,36,1,1
0,1,1,0,1,7,21,6,61,36,0,1
0,1,1,0,1,7,21,6,61,36,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,2,0,0,1,7,21,39,27,3,1,1
0,2,0,0,1,7,21,39,27,3,0,1
0,2,0,0,1,7,21,39,27,3,0,1
0,1,0,0,1,41,21,6,27,3,1,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,1,0,1,7,21,39,28,3,1,1
0,1,1,0,1,7,21,39,28,3,0,1
0,1,1,0,1,7,21,39,28,3,0,1
0,2,1,0,1,41,21,6,27,3,1,1
0,2,1,0,1,41,21,6,27,3,0,1
0,2,1,0,1,41,21,6,27,3,0,1
0,2,0,0,1,7,21,39,27,3,1,1
0,2,0,0,1,7,21,39,27,3,0,1
0,2,0,0,1,7,21,39,27,3,0,1
0,2,0,0,34,7,21,6,27,3,1,1
0,2,0,0,34,7,21,6,27,3,0,1
0,2,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,8,21,6,60,3,1,1
0,1,0,0,1,8,21,6,60,3,0,1
0,1,0,0,1,8,21,6,60,3,0,1
0,1,1,0,34,7,21,6,28,3,1,1
0,1,1,0,34,7,21,6,28,3,0,1
0,1,1,0,34,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,39,28,3,1,1
0,1,1,0,1,7,21,39,28,3,0,1
0,1,1,0,1,7,21,39,28,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,41,21,6,27,3,1,1
0,2,0,0,1,41,21,6,27,3,0,1
0,2,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,36,1,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,0,0,1,7,21,39,27,3,1,1
0,1,0,0,1,7,21,39,27,3,0,1
0,1,0,0,1,7,21,39,27,3,0,1
0,1,1,0,1,7,21,39,61,3,1,1
0,1,1,0,1,7,21,39,61,3,0,1
0,1,1,0,1,7,21,39,61,3,0,1
0,1,1,0,1,7,54,6,27,3,1,1
0,1,1,0,1,7,54,6,27,3,0,1
0,1,1,0,1,7,54,6,27,3,0,1
0,2,0,0,34,7,21,6,27,3,1,1
0,2,0,0,34,7,21,6,27,3,0,1
0,2,0,0,34,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,36,1,1
0,2,0,0,1,7,21,6,27,36,0,1
0,2,0,0,1,7,21,6,27,36,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,60,3,1,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,7,21,6,27,36,1,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
33,2,0,0,1,7,21,6,27,3,1,1
33,2,0,0,1,7,21,6,27,3,0,1
33,2,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,41,21,6,27,3,1,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,27,3,1,1
0,1,1,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,54,6,28,3,1,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,21,6,28,36,1,1
0,1,1,0,1,7,21,6,28,36,0,1
0,1,1,0,1,7,21,6,28,36,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,0,0,1,7,21,6,27,36,1,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,0,0,1,7,21,6,27,36,0,1
0,1,1,0,1,7,54,6,28,3,1,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,39,61,3,1,1
0,1,1,0,1,7,21,39,61,3,0,1
0,1,1,0,1,7,21,39,61,3,0,1
0,1,1,0,1,7,21,6,28,36,1,1
0,1,1,0,1,7,21,6,28,36,0,1
0,1,1,0,1,7,21,6,28,36,0,1
0,1,1,0,1,7,21,6,28,36,0,1
35,0,0,0,1,7,54,6,28,3,1,1
35,0,0,0,1,7,54,6,28,3,0,1
35,0,0,0,1,7,54,6,28,3,0,1
0,1,0,0,1,41,21,6,27,3,1,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,41,21,6,27,3,0,1
1,0,1,0,1,41,21,6,61,3,1,1
1,0,1,0,1,41,21,6,61,3,0,1
1,0,1,0,1,41,21,6,61,3,0,1
0,1,0,0,1,7,21,6,60,3,1,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,41,21,6,27,3,1,1
0,1,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,41,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,54,6,28,3,1,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,54,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
0,2,0,0,1,7,21,39,27,3,1,1
0,2,0,0,1,7,21,39,27,3,0,1
0,2,0,0,1,7,21,39,27,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,54,6,27,3,1,1
0,2,0,0,1,7,54,6,27,3,0,1
0,2,0,0,1,7,54,6,27,3,0,1
0,1,0,0,1,7,21,6,60,3,1,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,7,21,6,60,3,0,1
0,1,0,0,1,7,21,39,60,3,1,1
0,1,0,0,1,7,21,39,60,3,0,1
0,1,0,0,1,7,21,39,60,3,0,1
0,1,0,0,1,7,54,6,27,3,1,1
0,1,0,0,1,7,54,6,27,3,0,1
0,1,0,0,1,7,54,6,27,3,0,1
0,1,0,0,1,7,21,39,27,3,1,1
0,1,0,0,1,7,21,39,27,3,0,1
0,1,0,0,1,7,21,39,27,3,0,1
0,2,0,0,1,7,21,6,27,3,1,1
0,2,0,0,1,7,21,6,27,3,0,1
0,2,0,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,0,0,34,7,21,6,60,3,1,1
0,1,0,0,34,7,21,6,60,3,0,1
0,1,0,0,34,7,21,6,60,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,1,0,1,7,21,6,28,3,1,1
0,1,1,0,1,7,21,6,28,3,0,1
0,1,1,0,1,7,21,6,28,3,0,1
0,2,0,0,1,41,21,6,27,3,1,1
0,2,0,0,1,41,21,6,27,3,0,1
0,2,0,0,1,41,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,1,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,0,0,1,7,21,6,27,3,0,1
0,1,1,0,34,7,21,6,28,3,1,1
0,1,1,0,34,7,21,6,28,3,0,1
0,1,1,0,34,7,21,6,28,3,0,1
0,1,0,0,34,7,21,6,27,3,1,1
0,1,0,0,34,7,21,6,27,3,0,1
0,1,0,0,34,7,21,6,27,3,0,1
